id,type,sex,age,party,representation,Position,State
Platzeck,0,2,4,1,A,3,BB
Pofalla,0,2,4,4,B,3,BE
Praetorius,0,1,3,99,D/F,3,BE
Tillich,0,2,4,4,A,3,SN
Hassefeldt,0,1,4,5,A,2,BE
Kempeter,0,2,3,4,C,2,BE
Kapferer,0,2,3,3,C/D,2,BE
Kempf,0,2,4,99,B,2,BE
Nemat,0,1,3,99,B,2,NW
Reiche,0,1,2,4,C/B,2,BE
Roestel,0,1,3,2,B/D,2,SN
Schweitzer,0,2,3,99,B,2,BE
Grothus,0,1,3,99,D,2,NW
Wodkte,0,1,4,4,A/D,2,BB
Herntier,0,1,4,99,E,2,BB
Kreuzberg,0,2,4,4,A,2,NW
Priggen,0,2,4,2,A,2,NW
Vassiliadis,0,2,3,1,C,2,NW
Scheidt,0,2,3,1,C/B/D,2,NW
Koerzell,0,2,3,1,C,2,HE
Kaiser,0,2,3,99,B/D,2,HH
Weiger,0,2,4,99,D,2,BA
Niebert,0,2,2,99,D,2,NI
Schoenefeld,0,1,4,99,F,2,BA
Matthes,0,2,3,99,D/F,2,BW
Schellnhuber,0,2,4,99,F,2,BB
Niebuhr,0,1,3,99,F,2,SH
Wehrspohn,0,2,3,99,F,2,SN
Laemmel,0,2,4,4,A,1,SN
Lenz,0,2,1,5,D,1,BA
Miersch,0,2,3,1,A,1,NI
SPD,1,99,1,99,99,99,99
GRU,1,99,2,99,99,99,99
FDP,1,99,3,99,99,99,99
CDU,1,99,4,99,99,99,99
CSU,1,99,5,99,99,99,99
Verein,1,99,99,99,99,99,99
Verband,1,99,99,99,99,99,99
Gewerkschaft,1,99,99,99,99,99,99
Umweltschutz,1,99,99,99,99,99,99
Energieunternehmen,1,99,99,99,99,99,99
Industrie,1,99,99,99,99,99,99
Wissenschaft,1,99,99,99,99,99,99
Regionalvertreter,1,99,99,99,99,99,99
